"Elapsed time","Datetime","Magnetic field"
204.768699,"2021-07-12 19:21:10.251092",-54.695
205.312759,"2021-07-12 19:21:10.795152",-54.694
205.857441,"2021-07-12 19:21:11.339834",-54.694
206.398655,"2021-07-12 19:21:11.881048",-54.696
206.942719,"2021-07-12 19:21:12.425112",-54.695
207.487594,"2021-07-12 19:21:12.969987",-54.692
208.029468,"2021-07-12 19:21:13.511861",-54.691
208.559981,"2021-07-12 19:21:14.042374",-54.686
209.101622,"2021-07-12 19:21:14.584015",-54.677
209.649727,"2021-07-12 19:21:15.132120",-54.668
210.192147,"2021-07-12 19:21:15.674540",-54.654
210.734356,"2021-07-12 19:21:16.216749",-54.644
211.279353,"2021-07-12 19:21:16.761746",-54.634
211.820706,"2021-07-12 19:21:17.303099",-54.623
212.352626,"2021-07-12 19:21:17.835019",-54.617
212.896291,"2021-07-12 19:21:18.378684",-54.611
213.437829,"2021-07-12 19:21:18.920222",-54.603
213.983051,"2021-07-12 19:21:19.465444",-54.598
214.527697,"2021-07-12 19:21:20.010090",-54.592
215.070956,"2021-07-12 19:21:20.553349",-54.586
215.610013,"2021-07-12 19:21:21.092406",-54.582
216.143121,"2021-07-12 19:21:21.625514",-54.579
216.686012,"2021-07-12 19:21:22.168405",-54.574
217.229386,"2021-07-12 19:21:22.711779",-54.57
217.771788,"2021-07-12 19:21:23.254181",-54.566
218.318095,"2021-07-12 19:21:23.800488",-54.562
218.861915,"2021-07-12 19:21:24.344308",-54.56
219.401507,"2021-07-12 19:21:24.883900",-54.559
219.933193,"2021-07-12 19:21:25.415586",-54.558
220.477243,"2021-07-12 19:21:25.959636",-54.556
221.021076,"2021-07-12 19:21:26.503469",-54.554
221.564774,"2021-07-12 19:21:27.047167",-54.553
222.108507,"2021-07-12 19:21:27.590900",-54.551
222.652362,"2021-07-12 19:21:28.134755",-54.55
223.196184,"2021-07-12 19:21:28.678577",-54.547
223.73842,"2021-07-12 19:21:29.220813",-54.546
224.282737,"2021-07-12 19:21:29.765130",-54.545
224.827411,"2021-07-12 19:21:30.309804",-54.544
225.367079,"2021-07-12 19:21:30.849472",-54.546
225.912419,"2021-07-12 19:21:31.394812",-54.547
226.458875,"2021-07-12 19:21:31.941268",-54.548
227.002426,"2021-07-12 19:21:32.484819",-54.549
227.541319,"2021-07-12 19:21:33.023712",-54.55
228.072268,"2021-07-12 19:21:33.554661",-54.547
228.613026,"2021-07-12 19:21:34.095419",-54.502
229.142916,"2021-07-12 19:21:34.625309",-54.428
229.686435,"2021-07-12 19:21:35.168828",-54.314
230.233267,"2021-07-12 19:21:35.715660",-54.212
230.776682,"2021-07-12 19:21:36.259075",-54.085
231.320701,"2021-07-12 19:21:36.803094",-53.979
231.861961,"2021-07-12 19:21:37.344354",-53.899
232.407384,"2021-07-12 19:21:37.889777",-53.806
232.952061,"2021-07-12 19:21:38.434454",-53.722
233.495104,"2021-07-12 19:21:38.977497",-53.646
234.039523,"2021-07-12 19:21:39.521916",-53.58
234.578982,"2021-07-12 19:21:40.061375",-53.523
235.111204,"2021-07-12 19:21:40.593597",-53.473
235.653732,"2021-07-12 19:21:41.136125",-53.43
236.197306,"2021-07-12 19:21:41.679699",-53.39
236.740274,"2021-07-12 19:21:42.222667",-53.358
237.286258,"2021-07-12 19:21:42.768651",-53.324
237.830131,"2021-07-12 19:21:43.312524",-53.296
238.36908,"2021-07-12 19:21:43.851473",-53.28
238.897969,"2021-07-12 19:21:44.380362",-53.256
239.440174,"2021-07-12 19:21:44.922567",-53.242
239.972849,"2021-07-12 19:21:45.455242",-53.224
240.515544,"2021-07-12 19:21:45.997937",-53.21
241.058087,"2021-07-12 19:21:46.540480",-53.198
241.604273,"2021-07-12 19:21:47.086666",-53.187
242.145048,"2021-07-12 19:21:47.627441",-53.179
242.691655,"2021-07-12 19:21:48.174048",-53.168
243.233004,"2021-07-12 19:21:48.715397",-53.16
243.762251,"2021-07-12 19:21:49.244644",-53.15
244.303124,"2021-07-12 19:21:49.785517",-53.14
244.83009,"2021-07-12 19:21:50.312483",-53.133
245.358552,"2021-07-12 19:21:50.840945",-53.129
245.88638,"2021-07-12 19:21:51.368773",-53.121
246.415584,"2021-07-12 19:21:51.897977",-53.119
246.958858,"2021-07-12 19:21:52.441251",-53.117
247.500364,"2021-07-12 19:21:52.982757",-53.112
248.030829,"2021-07-12 19:21:53.513222",-53.106
248.561169,"2021-07-12 19:21:54.043562",-53.102
249.104271,"2021-07-12 19:21:54.586664",-53.099
249.647822,"2021-07-12 19:21:55.130215",-53.099
250.187956,"2021-07-12 19:21:55.670349",-53.098
250.73326,"2021-07-12 19:21:56.215653",-53.102
251.263892,"2021-07-12 19:21:56.746285",-53.107
251.806491,"2021-07-12 19:21:57.288884",-53.112
252.351412,"2021-07-12 19:21:57.833805",-53.115
252.895456,"2021-07-12 19:21:58.377849",-53.119
253.439174,"2021-07-12 19:21:58.921567",-53.123
253.98285,"2021-07-12 19:21:59.465243",-53.128
254.522934,"2021-07-12 19:22:00.005327",-53.132
